variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,beta,scheme,algorithm,max_iter,max_iter_time,iter_cat,i_par
Binding_on,1.0126133913381308,1.027750557122573,1.4075580075087057,1.3952760011850565,-1.323926672107459,3.3039541813336104,1.000019989336518,5568.275219964607,5290.377935867335,0,scheme_10,DR,518670,3830339.458831209,6,1
Binding_on,1.002135338511898,1.026861563293934,1.389214701105817,1.3557110593990112,-1.2581931698519595,3.277391952470891,1.0005812323246865,2208.994598290738,1975.9329105344434,0,scheme_10,DR,518670,3830339.458831209,8,1
Binding_on,0.77902497269527,0.7798089387340443,0.02572175013008148,0.02541065702955756,0.7362944186132914,0.8214016178543901,1.000197955102172,5420.644245496777,5196.961283256802,1,scheme_10,DR,518670,3830339.458831209,6,1
Binding_on,0.7794328872480961,0.7801470639270311,0.025712220326355076,0.026111210328672953,0.7370383684350262,0.8217524325679078,1.001200018540002,2107.0316274015195,1760.165048962056,1,scheme_10,DR,518670,3830339.458831209,8,1
Binding_off,2.019066443440268,2.0126886329976124,1.4291940608042997,1.4139879963814623,-0.3516381999817293,4.368298693506645,1.0009809233991054,5455.152492740068,5274.0683756337985,0,scheme_10,DR,518670,3830339.458831209,6,2
Binding_off,2.0120846177699954,2.030204087643976,1.4567376090540507,1.4573319881865727,-0.3565665429491799,4.358480567876622,1.0001925185454332,2128.785533251699,1788.938489448377,0,scheme_10,DR,518670,3830339.458831209,8,2
Binding_off,2.9164552547407254,2.9168024393145635,0.033575222711954976,0.032790927250502803,2.861256072935608,2.9705808630888932,0.9998229124674484,5028.102502508673,4760.916640712857,1,scheme_10,DR,518670,3830339.458831209,6,2
Binding_off,2.916419858157307,2.9176246869634053,0.03324826529985577,0.03349704145728075,2.8618101868737416,2.9694605409137917,1.0013357139706154,1927.225585473752,2015.0006970565387,1,scheme_10,DR,518670,3830339.458831209,8,2
Rocking_on,1.9846917560864088,1.978704215641566,1.4079750376842264,1.3829880694636,-0.37516637880784137,4.300488712015746,1.0001203504157243,5305.602047555615,5111.459392869836,0,scheme_10,DR,518670,3830339.458831209,6,3
Rocking_on,1.9981098005944642,1.971196559329024,1.4093323851784336,1.3911423142050634,-0.29279289792971797,4.3278658358990745,1.0005938758942705,2000.8845741121004,1911.380333773694,0,scheme_10,DR,518670,3830339.458831209,8,3
Rocking_on,3.2248278319527777,3.22603817999181,0.021357929994934143,0.021233592060167273,3.1886998536827744,3.257427488493128,1.0001613994037886,5276.19351399583,5158.085905396995,1,scheme_10,DR,518670,3830339.458831209,6,3
Rocking_on,3.225006450371716,3.2264259818800562,0.021040103329637024,0.020927757301911945,3.1892130489916815,3.257401132907843,1.0007647656198286,2059.509718131849,1891.3661777085406,1,scheme_10,DR,518670,3830339.458831209,8,3
Rocking_off,2.018104540887483,2.0251336077044098,1.3842852987419798,1.3909132521626144,-0.26559081662877165,4.25803213773335,0.999846157171316,5309.174116710341,5213.466550718583,0,scheme_10,DR,518670,3830339.458831209,6,4
Rocking_off,2.032831916573987,2.0359419192868935,1.3831549276155808,1.3919925791824082,-0.25999617562256416,4.191995681461104,0.9996645410218984,2062.924108806178,1939.692276954635,0,scheme_10,DR,518670,3830339.458831209,8,4
Rocking_off,2.196024311966967,2.196797247065476,0.04476755242669951,0.03973479630696006,2.122146618395975,2.2678213574089012,0.9999676194933237,4968.487431869028,4925.052316695729,1,scheme_10,DR,518670,3830339.458831209,6,4
Rocking_off,2.1956305597806476,2.1962843356945303,0.04451324816621353,0.039004928259338455,2.1228007111318346,2.2671255009837976,1.0018149577072244,1826.042952090325,1838.6882999076174,1,scheme_10,DR,518670,3830339.458831209,8,4
RB,2.042221112514471,2.042966402409566,1.3992649983137,1.420187711759337,-0.22784106248943325,4.354096155681638,1.0001888533095666,5368.647566564003,5198.364856764566,0,scheme_10,DR,518670,3830339.458831209,6,5
RB,2.046060920773135,2.061281700285516,1.396113602447651,1.372479949611313,-0.2610118474667075,4.304437966422913,0.9997124229285629,2016.1877490446536,2015.942814895321,0,scheme_10,DR,518670,3830339.458831209,8,5
RB,1.2804352016659728,1.5889162782476078,0.645344594228535,0.6250741789394553,0.3436652766742657,2.0979704389154,1.0005785826356033,5324.245270056946,5323.654004116789,1,scheme_10,DR,518670,3830339.458831209,6,5
RB,1.2961397855521501,1.6014371388328281,0.6389399642614014,0.5422231595235635,0.3422704778816351,2.0877934878589155,1.0004588940897892,1962.5157040580257,1916.39174253065,1,scheme_10,DR,518670,3830339.458831209,8,5
RB_dm,2.4091452113452454,2.368512829188303,1.2085345020564633,1.2068322141558252,0.5095652200084254,4.462178665107718,1.000252478135645,5425.989911960709,5202.053757308731,0,scheme_10,DR,518670,3830339.458831209,6,5.5
RB_dm,2.4126435948576073,2.3609894022101257,1.1959715456015902,1.1870847067811334,0.551422070278781,4.498232722392955,0.9995119901476084,2103.1793491095023,2012.7093479859666,0,scheme_10,DR,518670,3830339.458831209,8,5.5
RB_dm,1.777993454412844,1.7521107361991135,0.2056915677684587,0.18651216840062537,1.4863071634086193,2.159554891706259,0.9998830199750112,5466.92734686886,5492.828578402206,1,scheme_10,DR,518670,3830339.458831209,6,5.5
RB_dm,1.775811642366043,1.7520318382189,0.20421373193119569,0.18984120920862696,1.4841136072277665,2.1462368103897678,1.0001392465723324,2129.5546145242033,2084.8355300931053,1,scheme_10,DR,518670,3830339.458831209,8,5.5
RB_0,1.7562725368398325e-4,-0.0137807766056387,1.4282273972854536,1.4408214165746072,-2.298213160385327,2.3820935629556583,0.9998939433657312,5437.940838734248,5313.0390927515955,0,scheme_10,DR,518670,3830339.458831209,6,6
RB_0,-0.025771263726607884,-0.018440574699227177,1.4333845179921583,1.455673209124481,-2.309545231646265,2.3329700747780566,1.0000313055533894,2053.017478794895,1944.631107259869,0,scheme_10,DR,518670,3830339.458831209,8,6
RB_0,2.2178078453675787,3.411786276766129,1.5698612497898043,0.37323302733551095,0.2587773138775359,3.6978006908625876,1.0013200318635727,5191.875807932141,4983.035633701433,1,scheme_10,DR,518670,3830339.458831209,6,6
RB_0,2.271533177488185,3.425517725989176,1.5585437507289852,0.3357116309259241,0.26084189555033593,3.6936029375695396,1.0002210222366243,1975.336754222751,1825.6013909934848,1,scheme_10,DR,518670,3830339.458831209,8,6
RB_1,0.014892666342219441,0.0205476115337406,1.4183924118608833,1.4277951822533914,-2.3163449583222664,2.330540285975508,0.9999211143425587,5383.6652685884455,5273.591764897869,0,scheme_10,DR,518670,3830339.458831209,6,7
RB_1,0.029002585046632393,0.031080282536483074,1.4058405627815078,1.4323568489371192,-2.27794969632137,2.386779170787207,0.9995522357123156,2173.892313299917,1879.5696435760874,0,scheme_10,DR,518670,3830339.458831209,8,7
RB_1,-0.07581171266277738,0.28414461163614024,0.728345806528758,0.6731882180763896,-1.1026936818258297,0.8165822050596372,1.0001634440847391,5294.518490232459,5038.984438062678,1,scheme_10,DR,518670,3830339.458831209,6,7
RB_1,-0.054050175598027286,0.31109586782889675,0.7219322710426658,0.5866492491020314,-1.1052914745812228,0.7982159919040394,1.0002232333058627,1902.0732822361908,1975.298468757442,1,scheme_10,DR,518670,3830339.458831209,8,7
RB_1_dm,0.02402196332594127,0.025781041359630667,1.4234657340457166,1.440177744050455,-2.3006872701944605,2.360079755578585,1.000216323767394,5115.007335809694,5327.936756185911,0,scheme_10,DR,518670,3830339.458831209,6,7.5
RB_1_dm,0.01017407576871021,0.024913624519508296,1.3924250932602844,1.4032098117673253,-2.2865323433060576,2.3105885976929414,0.9996902314870554,2020.5280094551715,2017.3584925133218,0,scheme_10,DR,518670,3830339.458831209,8,7.5
RB_1_dm,0.4917439775671989,0.48437730947224067,0.2243869616436662,0.2090097322124814,0.14498706231747496,0.8642835642006738,0.9998440954710563,5517.754316005502,5275.612641879093,1,scheme_10,DR,518670,3830339.458831209,6,7.5
RB_1_dm,0.4904622774713449,0.48493347361241507,0.21986572476620664,0.20793454819236218,0.14863958328441873,0.8493669074095868,0.9997869712431344,2044.6114290630928,2007.5252863017163,1,scheme_10,DR,518670,3830339.458831209,8,7.5
BR,0.9828873743701118,0.9712326132262314,1.4133083328850213,1.4166011890604915,-1.3191652472438895,3.309032041533385,1.0000703133332218,5345.253577841356,5089.719473308833,0,scheme_10,DR,518670,3830339.458831209,6,8
BR,0.9709932724162139,0.9463945075970946,1.3950883111984058,1.372422474750228,-1.240094597147383,3.2941832644605156,0.9996659534239711,2139.6444765904325,2057.286152219794,0,scheme_10,DR,518670,3830339.458831209,8,8
BR,1.0241791845440447,0.7082106665663789,0.6439493461674384,0.6006456426187967,0.21918522558358022,1.9762667764004376,1.0003295011175726,5360.013936175986,5586.33212862777,1,scheme_10,DR,518670,3830339.458831209,6,8
BR,1.0083893824591126,0.699390298367591,0.6391204689821738,0.545078320113413,0.23248198079864685,1.9797968647860569,1.0008360687595887,1951.846171886857,2129.511257460012,1,scheme_10,DR,518670,3830339.458831209,8,8
BR_dm,0.6159632755393374,0.6258049015438991,1.203318204175122,1.2035112372754937,-1.4310760601699821,2.538477018468016,1.000304160786912,5098.1824599589545,5282.8486711206415,0,scheme_10,DR,518670,3830339.458831209,6,8.5
BR_dm,0.6044105983317416,0.6131350196202744,1.1864114963589742,1.1937699052797377,-1.385585446587151,2.503003157197357,0.9999129867540468,1983.7498301794246,2081.869579795414,0,scheme_10,DR,518670,3830339.458831209,8,8.5
BR_dm,0.5266209317971735,0.543276105336466,0.19636182719772682,0.1811525931715103,0.17284985568262765,0.8122029439788159,0.9999818217320019,5409.115962647036,5322.782716838039,1,scheme_10,DR,518670,3830339.458831209,6,8.5
BR_dm,0.5287175256452196,0.5436441284152171,0.1960475041324933,0.1862111363224787,0.1882658731000572,0.8197370809508566,1.0003131861048054,2075.5130385667035,1887.6323040678014,1,scheme_10,DR,518670,3830339.458831209,8,8.5
BR_0,-0.010725729932523425,-0.00913714030192983,1.4134981671115203,1.4386274571896034,-2.3389162543815782,2.2835626484206157,0.999977331122949,4929.714018118993,5015.35737206018,0,scheme_10,DR,518670,3830339.458831209,6,9
BR_0,-0.040364820722737026,-0.016772434774197043,1.392875244323756,1.4243401267561193,-2.358167928915238,2.2801040143901856,1.000586058328357,2042.4130466815768,1622.7947821643363,0,scheme_10,DR,518670,3830339.458831209,8,9
BR_0,-0.3477830308192709,-0.7233395663144084,0.7336238631586163,0.5562369563318016,-1.210538862577668,0.7218716441919251,1.0006048820361333,5386.889987654107,5496.600025524984,1,scheme_10,DR,518670,3830339.458831209,6,9
BR_0,-0.3643378934629208,-0.7360528652095407,0.716988037067886,0.4675826526355183,-1.1977389101348237,0.7282202441485912,1.0020972966036423,2074.0014130753784,1997.379856901797,1,scheme_10,DR,518670,3830339.458831209,8,9
