variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,transformed_mean,scheme,algorithm,max_iter,max_iter_time,iter_cat
Binding_on,0.7962950270480581,0.7961661272203095,0.022097027149425828,0.02265276315832406,0.7603216249262327,0.8322547603872678,0.9994019107448437,1192.9556358608338,1373.0108983102555,0.779856731178124,scheme_10,DR,145494,1824813.384579034,6
Binding_off,2.933088476191787,2.9337400428367797,0.031843492948432896,0.031200144954191763,2.88072776345441,2.9840572657103395,0.9993925814898815,1494.9879055537563,1415.9171447148483,2.9161817467527,scheme_10,DR,145494,1824813.384579034,6
Rocking_on,3.232678458114951,3.2332117447925217,0.020456870297039315,0.0195981872435764,3.1963279379015366,3.264724568039708,1.0060078230417324,1410.0336316777389,1583.3446632467894,3.22603925896995,scheme_10,DR,145494,1824813.384579034,6
Rocking_off,2.2005814657207203,2.198612944223283,0.05090497898218686,0.04520216326560791,2.1256149394903234,2.283538484760394,1.0010171408820179,1463.6476239982576,1393.9759631002887,2.19646414253244,scheme_10,DR,145494,1824813.384579034,6
RB,1.1415179584243962,0.9607843837617998,0.5192657481420337,0.7193453410028458,0.460655143763126,1.8696173274926207,1.0005888352510408,1519.1581334872387,1304.9327310439216,0.542604853738615,scheme_10,DR,145494,1824813.384579034,6
RB_0,1.8519801225464512,0.5753517517351695,1.4671001966557,0.3850880716166886,0.35154146318780977,3.5101616259062753,0.9998052747055006,1664.9523807271946,1532.3311376568563,0.354535758025786,scheme_10,DR,145494,1824813.384579034,6
RB_1,-0.2014422853321273,-0.5707399030495262,0.7002007866565875,0.923706677117045,-1.1035590859447415,0.7586977557260646,1.000225853821326,1570.0119873779495,1440.1074201020149,-0.873593847263837,scheme_10,DR,145494,1824813.384579034,6
BR,1.1521989933925791,1.387063522830407,0.5189560311534476,0.6743200305053791,0.40634627937399226,1.8098073197237354,1.000216362566463,1506.944571319742,1481.0269126535895,1.75201880303399,scheme_10,DR,145494,1824813.384579034,6
BR_0,-0.1607507572186491,0.17423368780042614,0.6893805983290974,0.9251941013269067,-1.1076949925284878,0.7213247965094104,0.9997577174779417,1441.029514637407,1322.8958471354922,0.487604577566186,scheme_10,DR,145494,1824813.384579034,6
BR_1,1.9755963815406836,3.2045521855095656,1.4663960417544002,0.4939483225717262,0.34797682069476354,3.5010459200241786,0.9994860002808482,1678.2334623509569,1501.4598131619282,3.52842019968409,scheme_10,DR,145494,1824813.384579034,6
Rocking_Current_factor,3.051518027722628,3.0241130734960677,0.4776768183385473,0.4707262321744694,2.3161898695408847,3.908135748801926,0.9995894895930111,1467.042010269477,1411.3988315918066,3.05009079145792,scheme_10,DR,145494,1824813.384579034,6
Leakeage_current_ratio,-6.388134883543528,-6.332455107158188,0.9483109164913563,0.9589699665920494,-8.09431643222252,-4.941612442439733,0.9998135554674025,1470.6693448941596,1411.398831591806,-6.38829714643819,scheme_10,DR,145494,1824813.384579034,6
Gating_Current,0.17107508980849667,0.1704384090003499,0.045542420418205665,0.04578783644408867,0.09741656377528916,0.24593459509331972,0.9997973110930894,1485.9134875747502,1378.2585780495017,0.284388764283251,scheme_10,DR,145494,1824813.384579034,6
Current_Noise,-3.543878103295518,-3.5434340726028886,0.045953957365575046,0.04851891978885834,-3.6175915217801786,-3.471372343168107,1.0011487539139157,1488.7122665002846,1366.7451306983853,-2.904787547275878,scheme_10,DR,145494,1824813.384579034,6
Pink_Noise,-0.2603278187105002,-0.2564414495554399,0.06695786537443632,0.06421391948663635,-0.3755403312697931,-0.15729169237139007,1.00149692911333,1559.508288339451,1460.090952550465,-0.21232485574254,scheme_10,DR,145494,1824813.384579034,6
Current_Baseline,0.7364970571933732,0.7341536393049737,0.07324576457572138,0.07235469331457457,0.6165130386281312,0.8644171263104128,0.9995748614648162,1417.528562992454,1313.1382155777194,0.724327165946924,scheme_10,DR,145494,1824813.384579034,6
Num_ch,3.166459652834821,3.1671021763494696,0.04910481037382245,0.04952046410061098,3.085730884569348,3.2454797557890567,1.0001996040835193,1481.4966814487284,1428.7192621955326,3.05554046515948,scheme_10,DR,145494,1824813.384579034,6
inactivation_rate,-3.4696213381135728,-3.469254252865322,0.02925535793750371,0.028944950485454615,-3.5176381131283,-3.420578446649455,0.9993552255253875,1571.1709795998368,1500.298916027913,-3.47408103436751,scheme_10,DR,145494,1824813.384579034,6
